funcid,dim,milestone,error
15,10,1,5.653784e+03
15,10,2,3.423178e+03
15,10,3,3.423178e+03
15,10,5,2.836200e+03
15,10,10,2.828782e+03
15,10,20,2.797055e+03
15,10,30,2.702459e+03
15,10,40,2.691441e+03
15,10,50,2.677530e+03
15,10,60,2.611203e+03
15,10,70,2.575439e+03
15,10,80,2.551125e+03
15,10,90,2.542194e+03
15,10,100,2.531477e+03
15,10,1,5.653784e+03
15,10,2,3.423178e+03
15,10,3,3.423178e+03
15,10,5,2.836200e+03
15,10,10,2.828782e+03
15,10,20,2.797055e+03
15,10,30,2.702459e+03
15,10,40,2.691441e+03
15,10,50,2.677530e+03
15,10,60,2.611203e+03
15,10,70,2.575439e+03
15,10,80,2.551125e+03
15,10,90,2.542194e+03
15,10,100,2.531477e+03
15,10,1,5.653784e+03
15,10,2,3.423178e+03
15,10,3,3.423178e+03
15,10,5,2.836200e+03
15,10,10,2.828782e+03
15,10,20,2.797055e+03
15,10,30,2.702459e+03
15,10,40,2.691441e+03
15,10,50,2.677530e+03
15,10,60,2.611203e+03
15,10,70,2.575439e+03
15,10,80,2.551125e+03
15,10,90,2.542194e+03
15,10,100,2.531477e+03
15,10,1,5.653784e+03
15,10,2,3.423178e+03
15,10,3,3.423178e+03
15,10,5,2.836200e+03
15,10,10,2.828782e+03
15,10,20,2.797055e+03
15,10,30,2.702459e+03
15,10,40,2.691441e+03
15,10,50,2.677530e+03
15,10,60,2.611203e+03
15,10,70,2.575439e+03
15,10,80,2.551125e+03
15,10,90,2.542194e+03
15,10,100,2.531477e+03
15,10,1,5.653784e+03
15,10,2,3.423178e+03
15,10,3,3.423178e+03
15,10,5,2.836200e+03
15,10,10,2.828782e+03
15,10,20,2.797055e+03
15,10,30,2.702459e+03
15,10,40,2.691441e+03
15,10,50,2.677530e+03
15,10,60,2.611203e+03
15,10,70,2.575439e+03
15,10,80,2.551125e+03
15,10,90,2.542194e+03
15,10,100,2.531477e+03
